date,source,destination,q10,q50,q90,forecast_demand
2026-05-11,Balıkesir,Bilecik,8027.5,9058.2,11266.85,11266.85
2026-05-11,Balıkesir,Eskişehir,14136.85,15901.8,19683.84,19683.84
2026-05-11,Balıkesir,Manisa,14464.59,16290.95,20204.59,20204.59
2026-05-11,Balıkesir,Tekirdağ,13559.58,15251.6,18877.36,18877.36
2026-05-11,Balıkesir,Yalova,17157.51,19283.55,23839.34,23839.34
2026-05-11,Balıkesir,İstanbul,13347.55,14979.99,18478.08,18478.08
2026-05-11,Bilecik,Eskişehir,9817.34,11042.96,13669.28,13669.28
2026-05-11,Bilecik,Manisa,9786.45,11056.14,13776.9,13776.9
2026-05-11,Eskişehir,Balıkesir,11203.42,12898.34,16530.32,16530.32
2026-05-11,Eskişehir,Bilecik,9500.45,10711.58,13306.86,13306.86
2026-05-11,Eskişehir,Erzincan,6982.36,7925.5,9946.52,9946.52
2026-05-11,Eskişehir,Isparta,4604.48,5232.42,6578.0,6578.0
2026-05-11,Eskişehir,Kütahya,6657.86,7501.14,9308.18,9308.18
2026-05-11,Eskişehir,Manisa,15766.2,17700.48,21845.37,21845.37
2026-05-11,Eskişehir,Mardin,7643.0,8615.93,10700.79,10700.79
2026-05-11,Eskişehir,Mersin,8319.45,9380.58,11654.43,11654.43
2026-05-11,Eskişehir,Tekirdağ,14784.85,16603.2,20499.67,20499.67
2026-05-11,Eskişehir,Yalova,22084.61,24972.3,31160.21,31160.21
2026-05-11,Eskişehir,İstanbul,14305.66,16104.0,19957.58,19957.58
2026-05-11,Eskişehir,Şanlıurfa,7716.54,8753.5,10975.56,10975.56
2026-05-11,Kocaeli,Balıkesir,24426.79,27619.27,34460.3,34460.3
2026-05-11,Kocaeli,Bilecik,13547.8,15372.56,19282.77,19282.77
2026-05-11,Kocaeli,Erzincan,11147.78,12453.3,15250.83,15250.83
2026-05-11,Kocaeli,Eskişehir,16568.62,18886.4,23853.07,23853.07
2026-05-11,Kocaeli,Isparta,6638.81,7610.05,9691.29,9691.29
2026-05-11,Kocaeli,Kütahya,9369.83,10632.09,13336.94,13336.94
2026-05-11,Kocaeli,Manisa,15285.71,17253.21,21469.28,21469.28
2026-05-11,Kocaeli,Mardin,10099.84,11385.51,14140.52,14140.52
2026-05-11,Kocaeli,Mersin,16248.23,18493.05,23303.39,23303.39
2026-05-11,Kocaeli,Sivas,7107.84,8138.0,10345.48,10345.48
2026-05-11,Kocaeli,Tekirdağ,26128.97,29664.75,37241.42,37241.42
2026-05-11,Kocaeli,Yalova,33571.54,37903.85,47187.36,47187.36
2026-05-11,Kocaeli,İstanbul,23314.82,26457.96,33193.27,33193.27
2026-05-11,Kocaeli,Şanlıurfa,10257.41,11768.8,15007.48,15007.48
2026-05-11,Kütahya,Eskişehir,4658.35,5233.98,6467.47,6467.47
2026-05-11,Manisa,Balıkesir,23589.35,26628.12,33139.77,33139.77
2026-05-11,Manisa,Bilecik,17783.63,20052.95,24915.77,24915.77
2026-05-11,Manisa,Denizli,7809.94,8812.8,10961.78,10961.78
2026-05-11,Manisa,Eskişehir,23178.83,25796.88,31406.99,31406.99
2026-05-11,Manisa,Isparta,14219.89,16006.2,19834.01,19834.01
2026-05-11,Manisa,Kütahya,14866.49,16645.22,20456.78,20456.78
2026-05-11,Manisa,Mersin,10808.88,12910.9,17415.22,17415.22
2026-05-11,Manisa,Sivas,7680.74,8831.86,11298.55,11298.55
2026-05-11,Manisa,Tekirdağ,21816.42,24868.8,31409.6,31409.6
2026-05-11,Manisa,Yalova,29589.45,33265.32,41142.18,41142.18
2026-05-11,Manisa,İstanbul,21379.49,23974.34,29534.73,29534.73
2026-05-11,Mersin,Eskişehir,6074.23,6803.17,8365.18,8365.18
2026-05-11,Mersin,Manisa,5454.92,6339.06,8233.65,8233.65
2026-05-11,Sivas,Eskişehir,10457.8,11695.65,14348.18,14348.18
2026-05-11,Tekirdağ,Balıkesir,21595.48,24270.68,30003.25,30003.25
2026-05-11,Tekirdağ,Bilecik,13375.58,15034.7,18589.96,18589.96
2026-05-11,Tekirdağ,Denizli,5745.25,6552.28,8281.64,8281.64
2026-05-11,Tekirdağ,Eskişehir,28478.32,31858.8,39102.69,39102.69
2026-05-11,Tekirdağ,Isparta,7804.81,8952.56,11412.03,11412.03
2026-05-11,Tekirdağ,Karaman,6948.73,7889.8,9906.37,9906.37
2026-05-11,Tekirdağ,Kütahya,8778.61,9872.52,12216.61,12216.61
2026-05-11,Tekirdağ,Manisa,24044.17,27047.79,33484.13,33484.13
2026-05-11,Tekirdağ,Mersin,13521.02,15350.67,19271.36,19271.36
2026-05-11,Tekirdağ,Yalova,34327.96,38498.54,47435.49,47435.49
2026-05-11,Tekirdağ,Zonguldak,5108.2,5811.0,7316.99,7316.99
2026-05-11,Tekirdağ,İstanbul,24383.46,27392.85,33841.54,33841.54
2026-05-11,Tekirdağ,Şanlıurfa,10081.28,11479.65,14476.17,14476.17
2026-05-11,Yalova,Balıkesir,29004.63,32772.6,40846.83,40846.83
2026-05-11,Yalova,Bilecik,16401.06,18517.72,23053.41,23053.41
2026-05-11,Yalova,Eskişehir,37501.62,42281.1,52522.84,52522.84
2026-05-11,Yalova,Kütahya,11190.33,12619.2,15681.06,15681.06
2026-05-11,Yalova,Manisa,30220.38,34294.91,43026.05,43026.05
2026-05-11,Yalova,Mersin,16517.42,18661.44,23255.78,23255.78
2026-05-11,Yalova,Tekirdağ,33775.46,38232.98,47784.8,47784.8
2026-05-11,Yalova,İstanbul,30867.32,35050.07,44013.1,44013.1
2026-05-11,İstanbul,Balıkesir,39652.23,45043.3,56595.6,56595.6
2026-05-11,İstanbul,Bilecik,23085.93,26148.24,32710.32,32710.32
2026-05-11,İstanbul,Denizli,11935.29,13597.48,17159.31,17159.31
2026-05-11,İstanbul,Erzincan,19129.13,21735.06,27319.19,27319.19
