date,slot,source,destination,q10,q50,q90,recommended_demand,safety_buffer,risk_class,route_label
2026-06-29,09:00,Balıkesir,Bilecik,0.0,96.8077,109.7069,103.2573,6.4496,LOW,Balıkesir → Bilecik
2026-06-29,09:00,Balıkesir,Denizli,0.0,49.8511,55.711,52.781,2.9299,LOW,Balıkesir → Denizli
2026-06-29,09:00,Balıkesir,Erzincan,0.0,39.1889,44.8356,42.0123,2.8234,LOW,Balıkesir → Erzincan
2026-06-29,09:00,Balıkesir,Eskişehir,0.7374,141.1987,162.7857,151.9922,10.7935,LOW,Balıkesir → Eskişehir
2026-06-29,09:00,Balıkesir,Isparta,0.1084,77.7355,87.1361,82.4358,4.7003,LOW,Balıkesir → Isparta
2026-06-29,09:00,Balıkesir,Karaman,0.0,26.2263,30.096,28.1612,1.9349,LOW,Balıkesir → Karaman
2026-06-29,09:00,Balıkesir,Kütahya,0.0,66.0823,75.4597,70.771,4.6887,LOW,Balıkesir → Kütahya
2026-06-29,09:00,Balıkesir,Manisa,2.7391,199.5643,218.7016,209.133,9.5687,LOW,Balıkesir → Manisa
2026-06-29,09:00,Balıkesir,Mardin,0.0,55.7527,66.6147,61.1837,5.431,LOW,Balıkesir → Mardin
2026-06-29,09:00,Balıkesir,Mersin,0.0,114.6184,128.0309,121.3247,6.7063,LOW,Balıkesir → Mersin
2026-06-29,09:00,Balıkesir,Sivas,0.3421,41.2712,46.5785,43.9248,2.6536,LOW,Balıkesir → Sivas
2026-06-29,09:00,Balıkesir,Tekirdağ,0.0,171.1835,190.8126,180.998,9.8145,LOW,Balıkesir → Tekirdağ
2026-06-29,09:00,Balıkesir,Yalova,9.1433,216.5771,235.5453,226.0612,9.4841,LOW,Balıkesir → Yalova
2026-06-29,09:00,Balıkesir,Zonguldak,0.0,29.7941,33.9262,31.8602,2.0661,LOW,Balıkesir → Zonguldak
2026-06-29,09:00,Balıkesir,İstanbul,0.0435,111.2107,123.881,117.5458,6.3351,LOW,Balıkesir → İstanbul
2026-06-29,09:00,Balıkesir,Şanlıurfa,0.0,35.6201,40.5401,38.0801,2.46,LOW,Balıkesir → Şanlıurfa
2026-06-29,09:00,Bilecik,Balıkesir,0.0,184.6105,301.1374,242.874,58.2635,MEDIUM,Bilecik → Balıkesir
2026-06-29,09:00,Bilecik,Denizli,0.0,34.7503,46.4253,40.5878,5.8375,LOW,Bilecik → Denizli
2026-06-29,09:00,Bilecik,Erzincan,0.0,110.8421,225.3375,168.0898,57.2477,MEDIUM,Bilecik → Erzincan
2026-06-29,09:00,Bilecik,Eskişehir,0.0,209.327,393.4192,301.3731,92.0461,MEDIUM,Bilecik → Eskişehir
2026-06-29,09:00,Bilecik,Isparta,0.0,59.8531,94.6353,77.2442,17.3911,MEDIUM,Bilecik → Isparta
2026-06-29,09:00,Bilecik,Karaman,0.0,53.2564,84.7052,68.9808,15.7244,MEDIUM,Bilecik → Karaman
2026-06-29,09:00,Bilecik,Kütahya,0.0,93.27,162.6036,127.9368,34.6668,MEDIUM,Bilecik → Kütahya
2026-06-29,09:00,Bilecik,Manisa,0.0,214.2229,355.7728,284.9979,70.775,MEDIUM,Bilecik → Manisa
2026-06-29,09:00,Bilecik,Mardin,0.0,88.507,146.5023,117.5046,28.9976,MEDIUM,Bilecik → Mardin
2026-06-29,09:00,Bilecik,Mersin,35.3406,342.6687,828.1322,585.4005,242.7318,MEDIUM,Bilecik → Mersin
2026-06-29,09:00,Bilecik,Sivas,0.0,75.1023,125.4033,100.2528,25.1505,MEDIUM,Bilecik → Sivas
2026-06-29,09:00,Bilecik,Tekirdağ,0.0,195.2556,371.6909,283.4733,88.2177,MEDIUM,Bilecik → Tekirdağ
2026-06-29,09:00,Bilecik,Yalova,0.0,223.4896,417.3033,320.3964,96.9068,MEDIUM,Bilecik → Yalova
2026-06-29,09:00,Bilecik,Zonguldak,0.0,71.6955,129.8757,100.7856,29.0901,MEDIUM,Bilecik → Zonguldak
2026-06-29,09:00,Bilecik,İstanbul,0.0,181.8031,349.0362,265.4197,83.6166,MEDIUM,Bilecik → İstanbul
2026-06-29,09:00,Bilecik,Şanlıurfa,0.0,90.3879,190.2103,140.2991,49.9112,MEDIUM,Bilecik → Şanlıurfa
2026-06-29,09:00,Denizli,Balıkesir,0.7396,36.9031,46.2404,41.5717,4.6686,LOW,Denizli → Balıkesir
2026-06-29,09:00,Denizli,Bilecik,0.965,20.734,22.6955,21.7147,0.9807,LOW,Denizli → Bilecik
2026-06-29,09:00,Denizli,Erzincan,0.0,7.7619,13.1862,10.474,2.7121,LOW,Denizli → Erzincan
2026-06-29,09:00,Denizli,Eskişehir,0.8237,28.9884,31.1273,30.0579,1.0695,LOW,Denizli → Eskişehir
2026-06-29,09:00,Denizli,Isparta,0.0,5.4904,10.0351,7.7627,2.2723,LOW,Denizli → Isparta
2026-06-29,09:00,Denizli,Karaman,0.3245,6.0696,6.5333,6.3014,0.2318,LOW,Denizli → Karaman
2026-06-29,09:00,Denizli,Kütahya,0.4906,11.1107,18.5861,14.8484,3.7377,LOW,Denizli → Kütahya
2026-06-29,09:00,Denizli,Manisa,0.0,42.9479,51.0815,47.0147,4.0668,LOW,Denizli → Manisa
2026-06-29,09:00,Denizli,Mardin,0.3244,6.8532,7.4325,7.1428,0.2896,LOW,Denizli → Mardin
2026-06-29,09:00,Denizli,Mersin,1.2495,16.1004,24.9333,20.5168,4.4164,LOW,Denizli → Mersin
2026-06-29,09:00,Denizli,Sivas,0.0,6.5448,8.4508,7.4978,0.953,LOW,Denizli → Sivas
2026-06-29,09:00,Denizli,Tekirdağ,0.7419,38.2259,46.709,42.4675,4.2416,LOW,Denizli → Tekirdağ
2026-06-29,09:00,Denizli,Yalova,1.454,54.0487,78.4846,66.2667,12.218,LOW,Denizli → Yalova
2026-06-29,09:00,Denizli,Zonguldak,0.3245,6.3711,6.8803,6.6257,0.2546,LOW,Denizli → Zonguldak
2026-06-29,09:00,Denizli,İstanbul,0.9571,26.9744,29.1233,28.0489,1.0745,LOW,Denizli → İstanbul
2026-06-29,09:00,Denizli,Şanlıurfa,1.1119,8.5329,11.6615,10.0972,1.5643,LOW,Denizli → Şanlıurfa
2026-06-29,09:00,Erzincan,Balıkesir,1.0958,50.8102,73.9061,62.3581,11.5479,LOW,Erzincan → Balıkesir
2026-06-29,09:00,Erzincan,Bilecik,1.1276,18.4297,21.7893,20.1095,1.6798,LOW,Erzincan → Bilecik
2026-06-29,09:00,Erzincan,Denizli,1.1073,7.1111,7.5733,7.3422,0.2311,LOW,Erzincan → Denizli
2026-06-29,09:00,Erzincan,Eskişehir,0.9665,60.4313,92.7354,76.5833,16.152,LOW,Erzincan → Eskişehir
2026-06-29,09:00,Erzincan,Isparta,0.7142,16.3466,20.7861,18.5664,2.2198,LOW,Erzincan → Isparta
2026-06-29,09:00,Erzincan,Karaman,2.284,13.8612,15.2143,14.5377,0.6765,LOW,Erzincan → Karaman
2026-06-29,09:00,Erzincan,Kütahya,0.7023,11.4987,14.6395,13.0691,1.5704,LOW,Erzincan → Kütahya
2026-06-29,09:00,Erzincan,Manisa,0.0,44.3246,67.9072,56.1159,11.7913,LOW,Erzincan → Manisa
2026-06-29,09:00,Erzincan,Mardin,0.587,12.737,22.624,17.6805,4.9435,LOW,Erzincan → Mardin
2026-06-29,09:00,Erzincan,Mersin,0.1789,32.5676,53.3513,42.9595,10.3919,LOW,Erzincan → Mersin
2026-06-29,09:00,Erzincan,Sivas,1.7282,80.6549,90.3729,85.5139,4.859,LOW,Erzincan → Sivas
2026-06-29,09:00,Erzincan,Tekirdağ,0.0,38.9178,60.5777,49.7478,10.83,LOW,Erzincan → Tekirdağ
2026-06-29,09:00,Erzincan,Yalova,1.0092,48.885,71.9791,60.4321,11.5471,LOW,Erzincan → Yalova
2026-06-29,09:00,Erzincan,Zonguldak,1.7987,14.5708,16.0352,15.303,0.7322,LOW,Erzincan → Zonguldak
2026-06-29,09:00,Erzincan,İstanbul,0.0,98.7359,172.4727,135.6043,36.8684,MEDIUM,Erzincan → İstanbul
2026-06-29,09:00,Erzincan,Şanlıurfa,0.0,60.6903,126.6628,93.6765,32.9862,MEDIUM,Erzincan → Şanlıurfa
2026-06-29,09:00,Eskişehir,Balıkesir,35.808,273.2115,361.4645,317.338,44.1265,LOW,Eskişehir → Balıkesir
2026-06-29,09:00,Eskişehir,Bilecik,1.4444,130.7537,139.5285,135.1411,4.3874,LOW,Eskişehir → Bilecik
2026-06-29,09:00,Eskişehir,Denizli,0.0,44.3696,53.6106,48.9901,4.6205,LOW,Eskişehir → Denizli
2026-06-29,09:00,Eskişehir,Erzincan,0.0,125.7451,137.5487,131.6469,5.9018,LOW,Eskişehir → Erzincan
2026-06-29,09:00,Eskişehir,Isparta,0.0,88.6701,119.7875,104.2288,15.5587,LOW,Eskişehir → Isparta
2026-06-29,09:00,Eskişehir,Karaman,0.0,61.1367,68.6065,64.8716,3.7349,LOW,Eskişehir → Karaman
2026-06-29,09:00,Eskişehir,Kütahya,0.0,73.9577,81.7556,77.8566,3.8989,LOW,Eskişehir → Kütahya
2026-06-29,09:00,Eskişehir,Manisa,38.8632,334.4033,402.3503,368.3768,33.9735,LOW,Eskişehir → Manisa
2026-06-29,09:00,Eskişehir,Mardin,0.0,154.7413,195.5312,175.1363,20.395,LOW,Eskişehir → Mardin
2026-06-29,09:00,Eskişehir,Mersin,0.0,125.5274,150.0143,137.7708,12.2434,LOW,Eskişehir → Mersin
2026-06-29,09:00,Eskişehir,Sivas,0.0,66.6746,76.1329,71.4038,4.7292,LOW,Eskişehir → Sivas
2026-06-29,09:00,Eskişehir,Tekirdağ,38.2202,296.8893,403.1318,350.0106,53.1213,LOW,Eskişehir → Tekirdağ
2026-06-29,09:00,Eskişehir,Yalova,96.0655,554.1837,627.1671,590.6754,36.4917,LOW,Eskişehir → Yalova
2026-06-29,09:00,Eskişehir,Zonguldak,0.3931,60.8517,68.151,64.5013,3.6496,LOW,Eskişehir → Zonguldak
2026-06-29,09:00,Eskişehir,İstanbul,29.5821,240.1266,343.7861,291.9563,51.8297,LOW,Eskişehir → İstanbul
2026-06-29,09:00,Eskişehir,Şanlıurfa,0.0,179.0627,220.1515,199.6071,20.5444,LOW,Eskişehir → Şanlıurfa
2026-06-29,09:00,Isparta,Balıkesir,0.0,30.847,57.8182,44.3326,13.4856,LOW,Isparta → Balıkesir
2026-06-29,09:00,Isparta,Bilecik,0.0,14.6219,26.718,20.6699,6.048,LOW,Isparta → Bilecik
2026-06-29,09:00,Isparta,Denizli,0.0,7.6406,8.7777,8.2091,0.5685,LOW,Isparta → Denizli
2026-06-29,09:00,Isparta,Erzincan,0.0,7.3325,12.7329,10.0327,2.7002,LOW,Isparta → Erzincan
2026-06-29,09:00,Isparta,Eskişehir,0.0,19.4256,35.422,27.4238,7.9982,LOW,Isparta → Eskişehir
2026-06-29,09:00,Isparta,Karaman,0.0,5.2346,7.56,6.3973,1.1627,LOW,Isparta → Karaman
2026-06-29,09:00,Isparta,Kütahya,0.0,9.6548,12.4911,11.0729,1.4181,LOW,Isparta → Kütahya
2026-06-29,09:00,Isparta,Manisa,0.0,57.0231,64.037,60.5301,3.507,LOW,Isparta → Manisa
2026-06-29,09:00,Isparta,Mardin,0.0,7.7973,10.7554,9.2763,1.479,LOW,Isparta → Mardin
2026-06-29,09:00,Isparta,Mersin,0.0,35.2777,41.5053,38.3915,3.1138,LOW,Isparta → Mersin
2026-06-29,09:00,Isparta,Sivas,0.0,4.1208,5.0515,4.5861,0.4653,LOW,Isparta → Sivas
2026-06-29,09:00,Isparta,Tekirdağ,0.0,44.2457,82.6442,63.4449,19.1992,MEDIUM,Isparta → Tekirdağ
2026-06-29,09:00,Isparta,Yalova,0.0,85.8123,97.373,91.5927,5.7804,LOW,Isparta → Yalova
2026-06-29,09:00,Isparta,Zonguldak,0.0,4.0191,4.6151,4.3171,0.298,LOW,Isparta → Zonguldak
2026-06-29,09:00,Isparta,İstanbul,0.0,90.7394,152.4286,121.584,30.8446,MEDIUM,Isparta → İstanbul
2026-06-29,09:00,Isparta,Şanlıurfa,0.0,7.722,15.1185,11.4202,3.6982,LOW,Isparta → Şanlıurfa
2026-06-29,09:00,Karaman,Balıkesir,0.0,26.5011,42.5068,34.5039,8.0028,LOW,Karaman → Balıkesir
2026-06-29,09:00,Karaman,Bilecik,0.0,12.6986,17.062,14.8803,2.1817,LOW,Karaman → Bilecik
2026-06-29,09:00,Karaman,Denizli,0.0005,11.5558,13.1597,12.3578,0.802,LOW,Karaman → Denizli
2026-06-29,09:00,Karaman,Erzincan,0.0,20.0764,22.9463,21.5114,1.435,LOW,Karaman → Erzincan
2026-06-29,09:00,Karaman,Eskişehir,0.0,19.3705,25.0291,22.1998,2.8293,LOW,Karaman → Eskişehir
2026-06-29,09:00,Karaman,Isparta,0.0,12.8566,14.6943,13.7754,0.9188,LOW,Karaman → Isparta
2026-06-29,09:00,Karaman,Kütahya,0.0,24.827,51.0943,37.9606,13.1336,LOW,Karaman → Kütahya
2026-06-29,09:00,Karaman,Manisa,0.0,36.6861,54.5307,45.6084,8.9223,LOW,Karaman → Manisa
2026-06-29,09:00,Karaman,Mardin,0.0,16.819,19.2937,18.0564,1.2374,LOW,Karaman → Mardin
2026-06-29,09:00,Karaman,Mersin,0.0,64.5704,72.6928,68.6316,4.0612,LOW,Karaman → Mersin
2026-06-29,09:00,Karaman,Sivas,0.0113,49.1204,56.4885,52.8045,3.6841,LOW,Karaman → Sivas
2026-06-29,09:00,Karaman,Tekirdağ,0.0,19.4153,21.7707,20.593,1.1777,LOW,Karaman → Tekirdağ
2026-06-29,09:00,Karaman,Yalova,0.0,27.9975,38.2242,33.1109,5.1134,LOW,Karaman → Yalova
2026-06-29,09:00,Karaman,Zonguldak,0.0,10.6419,12.1761,11.409,0.7671,LOW,Karaman → Zonguldak
2026-06-29,09:00,Karaman,İstanbul,0.0,26.9143,39.856,33.3852,6.4709,LOW,Karaman → İstanbul
2026-06-29,09:00,Karaman,Şanlıurfa,0.0,12.1728,19.8474,16.0101,3.8373,LOW,Karaman → Şanlıurfa
2026-06-29,09:00,Kocaeli,Balıkesir,123.4264,861.417,1440.3194,1150.8682,289.4512,MEDIUM,Kocaeli → Balıkesir
2026-06-29,09:00,Kocaeli,Bilecik,0.0,199.8371,335.5537,267.6954,67.8583,MEDIUM,Kocaeli → Bilecik
2026-06-29,09:00,Kocaeli,Denizli,0.0,36.8907,60.9263,48.9085,12.0178,LOW,Kocaeli → Denizli
2026-06-29,09:00,Kocaeli,Erzincan,0.0,87.7397,225.0451,156.3924,68.6527,MEDIUM,Kocaeli → Erzincan
2026-06-29,09:00,Kocaeli,Eskişehir,97.34,685.7212,1193.0333,939.3773,253.6561,MEDIUM,Kocaeli → Eskişehir
2026-06-29,09:00,Kocaeli,Isparta,0.0,50.8494,104.9825,77.9159,27.0665,MEDIUM,Kocaeli → Isparta
2026-06-29,09:00,Kocaeli,Karaman,0.0,48.3296,81.9009,65.1152,16.7856,MEDIUM,Kocaeli → Karaman
2026-06-29,09:00,Kocaeli,Kütahya,0.0,135.535,245.2214,190.3782,54.8432,MEDIUM,Kocaeli → Kütahya
2026-06-29,09:00,Kocaeli,Manisa,77.6065,554.4552,885.0764,719.7658,165.3106,LOW,Kocaeli → Manisa
2026-06-29,09:00,Kocaeli,Mardin,0.0,177.1619,322.1248,249.6433,72.4814,MEDIUM,Kocaeli → Mardin
2026-06-29,09:00,Kocaeli,Mersin,56.5528,611.3361,1030.3151,820.8256,209.4895,MEDIUM,Kocaeli → Mersin
2026-06-29,09:00,Kocaeli,Sivas,0.0,55.4539,106.5354,80.9946,25.5407,MEDIUM,Kocaeli → Sivas
2026-06-29,09:00,Kocaeli,Tekirdağ,204.2337,1140.5967,1910.2977,1525.4472,384.8505,MEDIUM,Kocaeli → Tekirdağ
2026-06-29,09:00,Kocaeli,Yalova,403.6746,1754.4842,2664.5824,2209.5333,455.0491,LOW,Kocaeli → Yalova
2026-06-29,09:00,Kocaeli,Zonguldak,0.0,71.7728,143.8341,107.8035,36.0307,MEDIUM,Kocaeli → Zonguldak
2026-06-29,09:00,Kocaeli,İstanbul,129.9814,920.0104,1426.0868,1173.0486,253.0382,LOW,Kocaeli → İstanbul
2026-06-29,09:00,Kocaeli,Şanlıurfa,0.0,241.5056,347.0268,294.2662,52.7606,LOW,Kocaeli → Şanlıurfa
2026-06-29,09:00,Kütahya,Balıkesir,0.0,21.2112,33.9558,27.5835,6.3723,LOW,Kütahya → Balıkesir
2026-06-29,09:00,Kütahya,Bilecik,0.0004,11.0758,15.5625,13.3192,2.2434,LOW,Kütahya → Bilecik
2026-06-29,09:00,Kütahya,Denizli,0.0,7.8791,9.0322,8.4556,0.5765,LOW,Kütahya → Denizli
2026-06-29,09:00,Kütahya,Erzincan,0.0,8.4943,9.6712,9.0827,0.5884,LOW,Kütahya → Erzincan
2026-06-29,09:00,Kütahya,Eskişehir,0.0,22.2553,34.4624,28.3589,6.1036,LOW,Kütahya → Eskişehir
2026-06-29,09:00,Kütahya,Isparta,0.0,8.1858,9.3873,8.7865,0.6007,LOW,Kütahya → Isparta
2026-06-29,09:00,Kütahya,Karaman,0.0,3.154,3.6214,3.3877,0.2337,LOW,Kütahya → Karaman
2026-06-29,09:00,Kütahya,Manisa,0.0,28.1342,40.6116,34.3729,6.2387,LOW,Kütahya → Manisa
2026-06-29,09:00,Kütahya,Mardin,0.0,6.9989,8.0419,7.5204,0.5215,LOW,Kütahya → Mardin
2026-06-29,09:00,Kütahya,Mersin,0.0,8.1412,9.3553,8.7483,0.6071,LOW,Kütahya → Mersin
2026-06-29,09:00,Kütahya,Sivas,0.0,4.7679,5.4766,5.1223,0.3544,LOW,Kütahya → Sivas
2026-06-29,09:00,Kütahya,Tekirdağ,0.0,18.6194,33.4978,26.0586,7.4392,LOW,Kütahya → Tekirdağ
2026-06-29,09:00,Kütahya,Yalova,0.0,43.5891,48.6971,46.1431,2.554,LOW,Kütahya → Yalova
2026-06-29,09:00,Kütahya,Zonguldak,0.0,5.4299,6.2218,5.8259,0.396,LOW,Kütahya → Zonguldak
2026-06-29,09:00,Kütahya,İstanbul,0.0,16.6386,27.1351,21.8869,5.2483,LOW,Kütahya → İstanbul
