source,destination,distance_km
Balıkesir,Bilecik,187.3608704244132
Balıkesir,Eskişehir,226.09089779299342
Balıkesir,Manisa,120.95731464462517
Balıkesir,Tekirdağ,151.16634501682896
Balıkesir,Yalova,161.9928688498503
Balıkesir,İstanbul,177.45282932522397
Bilecik,Eskişehir,62.108934272959715
Bilecik,Manisa,277.53972693590094
Eskişehir,Balıkesir,226.09089779299342
Eskişehir,Bilecik,62.108934272959715
Eskişehir,Erzincan,767.195853725195
Eskişehir,Isparta,223.7348354492928
Eskişehir,Kütahya,61.00614396526886
Eskişehir,Manisa,295.8611919101291
Eskişehir,Mardin,927.7928482634169
Eskişehir,Mersin,488.1535875892216
Eskişehir,Tekirdağ,287.7553760348925
Eskişehir,Yalova,144.1017415713992
Eskişehir,İstanbul,189.22808028649783
Eskişehir,Şanlıurfa,776.7156085737436
Kocaeli,Balıkesir,216.15588995996342
Kocaeli,Bilecik,78.5721007286111
Kocaeli,Erzincan,824.4136258870154
Kocaeli,Eskişehir,131.40391954629067
Kocaeli,Isparta,348.2990691742357
Kocaeli,Kütahya,159.97684495661747
Kocaeli,Manisa,325.0847163392066
Kocaeli,Mardin,1013.9915856247263
Kocaeli,Mersin,610.187556275666
Kocaeli,Sivas,617.3675092720346
Kocaeli,Tekirdağ,199.62098687663948
Kocaeli,Yalova,56.50654991095236
Kocaeli,İstanbul,77.79782401660287
Kocaeli,Şanlıurfa,872.4088168825871
Kütahya,Eskişehir,61.00614396526886
Manisa,Balıkesir,120.95731464462517
Manisa,Bilecik,277.53972693590094
Manisa,Denizli,172.49919093551733
Manisa,Eskişehir,295.8611919101291
Manisa,Isparta,289.3561236652083
Manisa,Kütahya,237.82490710522907
Manisa,Mersin,665.0388034629632
Manisa,Sivas,835.5309464451386
Manisa,Tekirdağ,262.40369130380356
Manisa,Yalova,275.2391843109583
Manisa,İstanbul,296.78322682311943
Mersin,Eskişehir,488.1535875892216
Mersin,Manisa,665.0388034629632
Sivas,Eskişehir,555.2518431458809
Tekirdağ,Balıkesir,151.16634501682896
Tekirdağ,Bilecik,227.8452615007705
Tekirdağ,Denizli,380.84935170082235
Tekirdağ,Eskişehir,287.7553760348925
Tekirdağ,Isparta,442.8541703639476
Tekirdağ,Karaman,649.5805538634759
Tekirdağ,Kütahya,272.40893637780914
Tekirdağ,Manisa,262.40369130380356
Tekirdağ,Mersin,771.4187425486234
Tekirdağ,Yalova,152.14668802511184
Tekirdağ,Zonguldak,362.47606287391267
Tekirdağ,İstanbul,123.15889502423845
Tekirdağ,Şanlıurfa,1061.7346748971463
Yalova,Balıkesir,161.9928688498503
Yalova,Bilecik,81.99830063063833
Yalova,Eskişehir,144.1017415713992
Yalova,Kütahya,150.09420304926527
Yalova,Manisa,275.2391843109583
Yalova,Mersin,632.2230674866042
Yalova,Tekirdağ,152.14668802511184
Yalova,İstanbul,46.634886954476116
İstanbul,Balıkesir,177.45282932522397
İstanbul,Bilecik,127.42417285550584
İstanbul,Denizli,359.4683751558243
İstanbul,Erzincan,901.5751868146401
İstanbul,Eskişehir,189.22808028649783
İstanbul,Isparta,385.29048837564085
İstanbul,Karaman,562.1070013449173
İstanbul,Kütahya,196.46120528708914
İstanbul,Manisa,296.78322682311943
İstanbul,Mardin,1091.3678144947432
İstanbul,Mersin,676.761514739917
İstanbul,Sivas,695.0029237418738
İstanbul,Tekirdağ,123.15889502423845
İstanbul,Yalova,46.634886954476116
İstanbul,Zonguldak,241.03930222940988
İstanbul,Şanlıurfa,948.6126454119476
Şanlıurfa,Eskişehir,776.7156085737436
Şanlıurfa,Manisa,1010.0380679487732
Şanlıurfa,Tekirdağ,1061.7346748971463
