source,destination,distance_km,Tir_Suresi_Saat,Kamyon_Suresi_Saat,Hafif_Kamyon_Suresi_Saat,Kamyonet_Suresi_Saat,target_delivery_days
Balıkesir,Bilecik,240,3.69,3.43,3.2,3.0,1
Balıkesir,Denizli,298,4.58,4.26,3.97,3.73,1
Balıkesir,Erzincan,1271,19.55,18.16,16.95,15.89,2
Balıkesir,Eskişehir,289,4.45,4.13,3.85,3.61,1
Balıkesir,Isparta,400,6.15,5.71,5.33,5.0,1
Balıkesir,Karaman,691,10.63,9.87,9.21,8.64,1
Balıkesir,Kocaeli,274,4.22,3.91,3.65,3.42,1
Balıkesir,Kütahya,233,3.58,3.33,3.11,2.91,1
Balıkesir,Manisa,155,2.38,2.21,2.07,1.94,1
Balıkesir,Mardin,1469,22.6,20.99,19.59,18.36,2
Balıkesir,Mersin,856,13.17,12.23,11.41,10.7,2
Balıkesir,Sivas,1000,15.38,14.29,13.33,12.5,2
Balıkesir,Tekirdağ,194,2.98,2.77,2.59,2.42,1
Balıkesir,Yalova,207,3.18,2.96,2.76,2.59,1
Balıkesir,Zonguldak,495,7.62,7.07,6.6,6.19,1
Balıkesir,İstanbul,227,3.49,3.24,3.03,2.84,1
Balıkesir,Şanlıurfa,1266,19.48,18.09,16.88,15.82,2
Bilecik,Balıkesir,240,3.69,3.43,3.2,3.0,1
Bilecik,Denizli,351,5.4,5.01,4.68,4.39,1
Bilecik,Erzincan,1040,16.0,14.86,13.87,13.0,2
Bilecik,Eskişehir,79,1.22,1.13,1.05,0.99,1
Bilecik,Isparta,345,5.31,4.93,4.6,4.31,1
Bilecik,Karaman,555,8.54,7.93,7.4,6.94,1
Bilecik,Kocaeli,88,1.35,1.26,1.17,1.1,1
Bilecik,Kütahya,103,1.58,1.47,1.37,1.29,1
Bilecik,Manisa,355,5.46,5.07,4.73,4.44,1
Bilecik,Mardin,1259,19.37,17.99,16.79,15.74,2
Bilecik,Mersin,703,10.82,10.04,9.37,8.79,1
Bilecik,Sivas,770,11.85,11.0,10.27,9.62,1
Bilecik,Tekirdağ,292,4.49,4.17,3.89,3.65,1
Bilecik,Yalova,106,1.63,1.51,1.41,1.32,1
Bilecik,Zonguldak,271,4.17,3.87,3.61,3.39,1
Bilecik,İstanbul,164,2.52,2.34,2.19,2.05,1
Bilecik,Şanlıurfa,1067,16.42,15.24,14.23,13.34,2
Denizli,Balıkesir,298,4.58,4.26,3.97,3.73,1
Denizli,Bilecik,351,5.4,5.01,4.68,4.39,1
Denizli,Erzincan,1189,18.29,16.99,15.85,14.86,2
Denizli,Eskişehir,326,5.02,4.66,4.35,4.08,1
Denizli,Isparta,165,2.54,2.36,2.2,2.06,1
Denizli,Karaman,475,7.31,6.79,6.33,5.94,1
Denizli,Kocaeli,436,6.71,6.23,5.81,5.45,1
Denizli,Kütahya,255,3.92,3.64,3.4,3.19,1
Denizli,Manisa,221,3.4,3.16,2.95,2.76,1
Denizli,Mardin,1315,20.23,18.79,17.53,16.44,2
Denizli,Mersin,644,9.91,9.2,8.59,8.05,1
Denizli,Sivas,923,14.2,13.19,12.31,11.54,2
Denizli,Tekirdağ,488,7.51,6.97,6.51,6.1,1
Denizli,Yalova,409,6.29,5.84,5.45,5.11,1
Denizli,Zonguldak,602,9.26,8.6,8.03,7.53,1
Denizli,İstanbul,460,7.08,6.57,6.13,5.75,1
Denizli,Şanlıurfa,1100,16.92,15.71,14.67,13.75,2
Erzincan,Balıkesir,1271,19.55,18.16,16.95,15.89,2
Erzincan,Bilecik,1040,16.0,14.86,13.87,13.0,2
Erzincan,Denizli,1189,18.29,16.99,15.85,14.86,2
Erzincan,Eskişehir,982,15.11,14.03,13.09,12.28,2
Erzincan,Isparta,1032,15.88,14.74,13.76,12.9,2
Erzincan,Karaman,789,12.14,11.27,10.52,9.86,2
Erzincan,Kocaeli,1048,16.12,14.97,13.97,13.1,2
Erzincan,Kütahya,1044,16.06,14.91,13.92,13.05,2
Erzincan,Manisa,1340,20.62,19.14,17.87,16.75,2
Erzincan,Mardin,373,5.74,5.33,4.97,4.66,1
Erzincan,Mersin,685,10.54,9.79,9.13,8.56,1
Erzincan,Sivas,272,4.18,3.89,3.63,3.4,1
Erzincan,Tekirdağ,1310,20.15,18.71,17.47,16.38,2
Erzincan,Yalova,1119,17.22,15.99,14.92,13.99,2
Erzincan,Zonguldak,867,13.34,12.39,11.56,10.84,2
Erzincan,İstanbul,1154,17.75,16.49,15.39,14.43,2
