date,source,destination,distance_km,demand_desi,vehicle_type,rental_count,spot_count,capacity_desi,cost_tl
2026-05-11,Balıkesir,Bilecik,187.36,11266.85,Kamyon,0,1,12000,11572.58
2026-05-11,Balıkesir,Eskişehir,226.09,19683.84,Tır,0,1,22400,17352.27
2026-05-11,Balıkesir,Manisa,120.96,20204.59,Tır,0,1,22400,14723.93
2026-05-11,Balıkesir,Tekirdağ,151.17,18877.36,Tır,0,1,22400,15479.16
2026-05-11,Balıkesir,Yalova,161.99,23839.34,Kamyon,0,2,24000,22079.7
2026-05-11,Balıkesir,İstanbul,177.45,18478.08,Tır,0,1,22400,16136.32
2026-05-11,Bilecik,Eskişehir,62.11,13669.28,Tır,0,1,22400,13252.72
2026-05-11,Bilecik,Manisa,277.54,13776.9,Tır,0,1,22400,18638.49
2026-05-11,Eskişehir,Balıkesir,226.09,16530.32,Tır,0,1,22400,17352.27
2026-05-11,Eskişehir,Bilecik,62.11,13306.86,Tır,0,1,22400,13252.72
2026-05-11,Eskişehir,Erzincan,767.2,9946.52,Kamyon,0,1,12000,23749.11
2026-05-11,Eskişehir,Isparta,223.73,6578.0,Kamyon,0,1,12000,12336.43
2026-05-11,Eskişehir,Kütahya,61.01,9308.18,Kamyon,0,1,12000,8919.13
2026-05-11,Eskişehir,Manisa,295.86,21845.37,Tır,0,1,22400,19096.53
2026-05-11,Eskişehir,Mardin,927.79,10700.79,Kamyon,0,1,12000,27121.65
2026-05-11,Eskişehir,Mersin,488.15,11654.43,Kamyon,0,1,12000,17889.23
2026-05-11,Eskişehir,Tekirdağ,287.76,20499.67,Tır,0,1,22400,18893.88
2026-05-11,Eskişehir,Yalova,144.1,31160.21,Kamyon,0,1,12000,10664.14
2026-05-11,Eskişehir,Yalova,144.1,31160.21,Tır,0,1,22400,15302.54
2026-05-11,Eskişehir,İstanbul,189.23,19957.58,Tır,0,1,22400,16430.7
2026-05-11,Eskişehir,Şanlıurfa,776.72,10975.56,Kamyon,0,1,12000,23949.03
2026-05-11,Kocaeli,Balıkesir,216.16,34460.3,Kamyon,1,2,36000,31516.1
2026-05-11,Kocaeli,Bilecik,78.57,19282.77,Tır,0,1,22400,13664.3
2026-05-11,Kocaeli,Erzincan,824.41,15250.83,Tır,0,1,22400,32310.34
2026-05-11,Kocaeli,Eskişehir,131.4,23853.07,Kamyon,1,1,24000,16711.52
2026-05-11,Kocaeli,Isparta,348.3,9691.29,Kamyon,0,1,12000,14952.28
2026-05-11,Kocaeli,Kütahya,159.98,13336.94,Tır,0,1,22400,15699.42
2026-05-11,Kocaeli,Manisa,325.08,21469.28,Tır,0,1,22400,19827.12
2026-05-11,Kocaeli,Mardin,1013.99,14140.52,Tır,0,1,22400,37049.79
2026-05-11,Kocaeli,Mersin,610.19,23303.39,Kamyon,0,2,24000,40903.88
2026-05-11,Kocaeli,Sivas,617.37,10345.48,Kamyon,0,1,12000,20602.72
2026-05-11,Kocaeli,Tekirdağ,199.62,37241.42,Tır,1,1,44800,26285.59
2026-05-11,Kocaeli,Yalova,56.51,47187.36,Kamyonet,0,1,5600,5767.12
2026-05-11,Kocaeli,Yalova,56.51,47187.36,Tır,1,1,44800,20847.25
2026-05-11,Kocaeli,İstanbul,77.8,33193.27,Kamyon,0,1,12000,9271.75
2026-05-11,Kocaeli,İstanbul,77.8,33193.27,Tır,1,0,22400,8011.37
2026-05-11,Kocaeli,Şanlıurfa,872.41,15007.48,Tır,0,1,22400,33510.22
2026-05-11,Kütahya,Eskişehir,61.01,6467.47,Kamyon,0,1,12000,8919.13
2026-05-11,Manisa,Balıkesir,120.96,33139.77,Kamyon,0,1,12000,10178.1
2026-05-11,Manisa,Balıkesir,120.96,33139.77,Tır,0,1,22400,14723.93
2026-05-11,Manisa,Bilecik,277.54,24915.77,Kamyonet,0,1,5600,9745.72
2026-05-11,Manisa,Bilecik,277.54,24915.77,Tır,0,1,22400,18638.49
2026-05-11,Manisa,Denizli,172.5,10961.78,Kamyon,0,1,12000,11260.48
2026-05-11,Manisa,Eskişehir,295.86,31406.99,Kamyon,0,1,12000,13851.09
2026-05-11,Manisa,Eskişehir,295.86,31406.99,Tır,0,1,22400,19096.53
2026-05-11,Manisa,Isparta,289.36,19834.01,Tır,0,1,22400,18933.9
2026-05-11,Manisa,Kütahya,237.82,20456.78,Tır,0,1,22400,17645.62
2026-05-11,Manisa,Mersin,665.04,17415.22,Tır,0,1,22400,28325.97
2026-05-11,Manisa,Sivas,835.53,11298.55,Kamyon,0,1,12000,25184.15
2026-05-11,Manisa,Tekirdağ,262.4,31409.6,Kamyon,0,1,12000,13148.48
2026-05-11,Manisa,Tekirdağ,262.4,31409.6,Tır,0,1,22400,18260.09
2026-05-11,Manisa,Yalova,275.24,41142.18,Tır,0,2,44800,37161.96
2026-05-11,Manisa,İstanbul,296.78,29534.73,Kamyon,0,1,12000,13870.45
2026-05-11,Manisa,İstanbul,296.78,29534.73,Tır,0,1,22400,19119.58
2026-05-11,Mersin,Eskişehir,488.15,8365.18,Kamyon,0,1,12000,17889.23
2026-05-11,Mersin,Manisa,665.04,8233.65,Kamyon,0,1,12000,21603.81
2026-05-11,Sivas,Eskişehir,555.25,14348.18,Tır,0,1,22400,25581.3
2026-05-11,Tekirdağ,Balıkesir,151.17,30003.25,Kamyon,0,1,12000,10812.49
2026-05-11,Tekirdağ,Balıkesir,151.17,30003.25,Tır,0,1,22400,15479.16
2026-05-11,Tekirdağ,Bilecik,227.85,18589.96,Tır,0,1,22400,17396.13
2026-05-11,Tekirdağ,Denizli,380.85,8281.64,Kamyon,0,1,12000,15635.84
2026-05-11,Tekirdağ,Eskişehir,287.76,39102.69,Tır,0,2,44800,37787.76
2026-05-11,Tekirdağ,Isparta,442.85,11412.03,Kamyon,0,1,12000,16937.94
2026-05-11,Tekirdağ,Karaman,649.58,9906.37,Kamyon,0,1,12000,21279.19
2026-05-11,Tekirdağ,Kütahya,272.41,12216.61,Tır,0,1,22400,18510.22
2026-05-11,Tekirdağ,Manisa,262.4,33484.13,Kamyon,0,1,12000,13148.48
2026-05-11,Tekirdağ,Manisa,262.4,33484.13,Tır,0,1,22400,18260.09
2026-05-11,Tekirdağ,Mersin,771.42,19271.36,Tır,0,1,22400,30985.47
