=================================================================================
BASE MODEL BAŞARILI — OPTIMAL (Kusursuz)
=================================================================================

Tarih | Araç Türü | Hat | Kapasite (Desi) | Maliyet
--------------------------------------------------------------------------------
11_Mayis | Spot Kamyon | Balıkesir-Bilecik | 12000 Desi | 11572 TL
12_Mayis | Spot Kamyonet | Balıkesir-Bilecik | 5600 Desi | 8122 TL
13_Mayis | Spot Kamyonet | Balıkesir-Bilecik | 5600 Desi | 8122 TL
14_Mayis | Spot Kamyonet | Balıkesir-Bilecik | 5600 Desi | 8122 TL
15_Mayis | Spot Kamyonet | Balıkesir-Bilecik | 5600 Desi | 8122 TL
16_Mayis | Spot Kamyonet | Balıkesir-Bilecik | 5600 Desi | 8122 TL
11_Mayis | Spot Kamyon | Balıkesir-Eskişehir | 12000 Desi | 12385 TL
12_Mayis | Spot Kamyon | Balıkesir-Eskişehir | 12000 Desi | 12385 TL
13_Mayis | Spot Kamyon | Balıkesir-Eskişehir | 12000 Desi | 12385 TL
14_Mayis | Spot Kamyon | Balıkesir-Eskişehir | 12000 Desi | 12385 TL
15_Mayis | Spot Kamyonet | Balıkesir-Eskişehir | 5600 Desi | 8819 TL
16_Mayis | Spot Kamyonet | Balıkesir-Eskişehir | 5600 Desi | 8819 TL
17_Mayis | Spot Kamyonet | Balıkesir-Eskişehir | 5600 Desi | 8819 TL
11_Mayis | Spot Kamyon | Balıkesir-Manisa | 12000 Desi | 10178 TL
12_Mayis | Spot Kamyon | Balıkesir-Manisa | 12000 Desi | 10178 TL
13_Mayis | Spot Kamyon | Balıkesir-Manisa | 12000 Desi | 10178 TL
14_Mayis | Spot Kamyon | Balıkesir-Manisa | 12000 Desi | 10178 TL
15_Mayis | Spot Kamyonet | Balıkesir-Manisa | 5600 Desi | 6927 TL
16_Mayis | Spot Kamyonet | Balıkesir-Manisa | 5600 Desi | 6927 TL
17_Mayis | Spot Kamyonet | Balıkesir-Manisa | 5600 Desi | 6927 TL
11_Mayis | Spot Kamyon | Balıkesir-Tekirdağ | 12000 Desi | 10812 TL
12_Mayis | Spot Kamyon | Balıkesir-Tekirdağ | 12000 Desi | 10812 TL
13_Mayis | Spot Kamyon | Balıkesir-Tekirdağ | 12000 Desi | 10812 TL
14_Mayis | Spot Kamyon | Balıkesir-Tekirdağ | 12000 Desi | 10812 TL
15_Mayis | Spot Kamyonet | Balıkesir-Tekirdağ | 5600 Desi | 7470 TL
16_Mayis | Spot Kamyonet | Balıkesir-Tekirdağ | 5600 Desi | 7470 TL
17_Mayis | Spot Kamyonet | Balıkesir-Tekirdağ | 5600 Desi | 7470 TL
11_Mayis | Spot Tir | Balıkesir-Yalova | 22400 Desi | 15749 TL
12_Mayis | Spot Kamyon | Balıkesir-Yalova | 12000 Desi | 11039 TL
