date,source,destination,vehicle_type,rental_count,spot_count,capacity_desi
2026-05-11,Balıkesir,Bilecik,Kamyon,0,1,12000
2026-05-12,Balıkesir,Bilecik,Kamyonet,0,1,5600
2026-05-13,Balıkesir,Bilecik,Kamyonet,0,1,5600
2026-05-14,Balıkesir,Bilecik,Kamyonet,0,1,5600
2026-05-15,Balıkesir,Bilecik,Kamyonet,0,1,5600
2026-05-16,Balıkesir,Bilecik,Kamyonet,0,1,5600
2026-05-17,Balıkesir,Bilecik,Kamyonet,0,1,5600
2026-05-11,Balıkesir,Eskişehir,Tır,0,1,22400
2026-05-12,Balıkesir,Eskişehir,Kamyon,0,1,12000
2026-05-13,Balıkesir,Eskişehir,Kamyon,0,1,12000
2026-05-14,Balıkesir,Eskişehir,Kamyon,0,1,12000
2026-05-15,Balıkesir,Eskişehir,Kamyon,0,1,12000
2026-05-16,Balıkesir,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Balıkesir,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Balıkesir,Manisa,Tır,0,1,22400
2026-05-12,Balıkesir,Manisa,Kamyon,0,1,12000
2026-05-13,Balıkesir,Manisa,Kamyon,0,1,12000
2026-05-14,Balıkesir,Manisa,Kamyon,0,1,12000
2026-05-15,Balıkesir,Manisa,Kamyon,0,1,12000
2026-05-16,Balıkesir,Manisa,Kamyonet,0,1,5600
2026-05-17,Balıkesir,Manisa,Kamyonet,0,1,5600
2026-05-11,Balıkesir,Tekirdağ,Tır,0,1,22400
2026-05-12,Balıkesir,Tekirdağ,Kamyon,0,1,12000
2026-05-13,Balıkesir,Tekirdağ,Kamyon,0,1,12000
2026-05-14,Balıkesir,Tekirdağ,Kamyon,0,1,12000
2026-05-15,Balıkesir,Tekirdağ,Kamyon,0,1,12000
2026-05-16,Balıkesir,Tekirdağ,Kamyonet,0,1,5600
2026-05-17,Balıkesir,Tekirdağ,Kamyonet,0,1,5600
2026-05-11,Balıkesir,Yalova,Tır,0,1,22400
2026-05-12,Balıkesir,Yalova,Kamyon,0,1,12000
2026-05-13,Balıkesir,Yalova,Kamyon,0,1,12000
2026-05-14,Balıkesir,Yalova,Kamyon,0,1,12000
2026-05-15,Balıkesir,Yalova,Kamyon,0,1,12000
2026-05-16,Balıkesir,Yalova,Kamyonet,0,1,5600
2026-05-17,Balıkesir,Yalova,Kamyonet,0,1,5600
2026-05-11,Balıkesir,İstanbul,Tır,0,1,22400
2026-05-12,Balıkesir,İstanbul,Kamyon,0,1,12000
2026-05-13,Balıkesir,İstanbul,Kamyon,0,1,12000
2026-05-14,Balıkesir,İstanbul,Kamyon,0,1,12000
2026-05-15,Balıkesir,İstanbul,Kamyon,0,1,12000
2026-05-16,Balıkesir,İstanbul,Kamyonet,0,1,5600
2026-05-17,Balıkesir,İstanbul,Kamyonet,0,1,5600
2026-05-11,Bilecik,Eskişehir,Kamyon,0,1,12000
2026-05-12,Bilecik,Eskişehir,Kamyon,0,1,12000
2026-05-13,Bilecik,Eskişehir,Kamyonet,0,1,5600
2026-05-14,Bilecik,Eskişehir,Kamyonet,0,1,5600
2026-05-15,Bilecik,Eskişehir,Kamyonet,0,1,5600
2026-05-16,Bilecik,Eskişehir,Kamyonet,0,1,5600
2026-05-17,Bilecik,Eskişehir,Kamyonet,0,1,5600
2026-05-11,Bilecik,Manisa,Kamyon,0,1,12000
2026-05-12,Bilecik,Manisa,Kamyon,0,1,12000
2026-05-13,Bilecik,Manisa,Kamyonet,0,1,5600
2026-05-14,Bilecik,Manisa,Kamyonet,0,1,5600
2026-05-15,Bilecik,Manisa,Kamyonet,0,1,5600
2026-05-16,Bilecik,Manisa,Kamyonet,0,1,5600
2026-05-17,Bilecik,Manisa,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Balıkesir,Kamyon,0,1,12000
2026-05-12,Eskişehir,Balıkesir,Kamyon,0,1,12000
2026-05-13,Eskişehir,Balıkesir,Kamyon,0,1,12000
2026-05-14,Eskişehir,Balıkesir,Kamyon,0,1,12000
2026-05-15,Eskişehir,Balıkesir,Kamyon,0,1,12000
2026-05-16,Eskişehir,Balıkesir,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Balıkesir,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Bilecik,Kamyon,0,1,12000
2026-05-12,Eskişehir,Bilecik,Kamyon,0,1,12000
2026-05-13,Eskişehir,Bilecik,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Bilecik,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Bilecik,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Bilecik,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Bilecik,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Erzincan,Kamyon,0,1,12000
2026-05-12,Eskişehir,Erzincan,Kamyonet,0,1,5600
2026-05-13,Eskişehir,Erzincan,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Erzincan,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Erzincan,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Erzincan,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Erzincan,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Isparta,Kamyon,0,1,12000
2026-05-12,Eskişehir,Isparta,Kamyonet,0,1,5600
2026-05-13,Eskişehir,Isparta,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Isparta,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Isparta,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Isparta,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Isparta,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Kütahya,Kamyon,0,1,12000
2026-05-12,Eskişehir,Kütahya,Kamyonet,0,1,5600
2026-05-13,Eskişehir,Kütahya,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Kütahya,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Kütahya,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Kütahya,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Kütahya,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Manisa,Tır,0,1,22400
2026-05-12,Eskişehir,Manisa,Kamyon,0,1,12000
2026-05-13,Eskişehir,Manisa,Kamyon,0,1,12000
2026-05-14,Eskişehir,Manisa,Kamyon,0,1,12000
2026-05-15,Eskişehir,Manisa,Kamyon,0,1,12000
2026-05-16,Eskişehir,Manisa,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Manisa,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Mardin,Kamyon,0,1,12000
2026-05-12,Eskişehir,Mardin,Kamyonet,0,1,5600
2026-05-13,Eskişehir,Mardin,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Mardin,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Mardin,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Mardin,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Mardin,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Mersin,Kamyon,0,1,12000
2026-05-12,Eskişehir,Mersin,Kamyonet,0,1,5600
2026-05-13,Eskişehir,Mersin,Kamyonet,0,1,5600
2026-05-14,Eskişehir,Mersin,Kamyonet,0,1,5600
2026-05-15,Eskişehir,Mersin,Kamyonet,0,1,5600
2026-05-16,Eskişehir,Mersin,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Mersin,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Tekirdağ,Kamyon,0,1,12000
2026-05-12,Eskişehir,Tekirdağ,Kamyon,0,1,12000
2026-05-13,Eskişehir,Tekirdağ,Kamyon,0,1,12000
2026-05-14,Eskişehir,Tekirdağ,Kamyon,0,1,12000
2026-05-15,Eskişehir,Tekirdağ,Kamyon,0,1,12000
2026-05-16,Eskişehir,Tekirdağ,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Tekirdağ,Kamyonet,0,1,5600
2026-05-11,Eskişehir,Yalova,Tır,0,1,22400
2026-05-12,Eskişehir,Yalova,Tır,0,1,22400
2026-05-13,Eskişehir,Yalova,Kamyon,0,1,12000
2026-05-14,Eskişehir,Yalova,Kamyon,0,1,12000
2026-05-15,Eskişehir,Yalova,Kamyon,0,1,12000
2026-05-16,Eskişehir,Yalova,Kamyonet,0,1,5600
2026-05-17,Eskişehir,Yalova,Kamyonet,0,1,5600
2026-05-11,Eskişehir,İstanbul,Kamyon,0,1,12000
2026-05-12,Eskişehir,İstanbul,Kamyon,0,1,12000
2026-05-13,Eskişehir,İstanbul,Kamyon,0,1,12000
2026-05-14,Eskişehir,İstanbul,Kamyon,0,1,12000
2026-05-15,Eskişehir,İstanbul,Kamyon,0,1,12000
