Tarih,Araç_Tipi,Çıkış_TM,Varış_TM,Araç_Sayısı,Teslim_Edilen_Desi,Maliyet_TL,Rota_Tipi
13_Mayis,Spot Kamyon,Balıkesir,Eskişehir,1,12000,12385,Direkt
15_Mayis,Spot Kamyonet,Balıkesir,Eskişehir,1,5600,8819,Direkt
17_Mayis,Spot Kamyonet,Balıkesir,Eskişehir,1,5600,8819,Direkt
13_Mayis,Spot Kamyonet,Balıkesir,Tekirdağ,1,5600,7470,Direkt
15_Mayis,Spot Kamyonet,Balıkesir,İstanbul,1,5600,7944,Direkt
13_Mayis,Spot Kamyonet,Bilecik,Manisa,1,5600,9745,Direkt
11_Mayis,Spot Kamyon,Eskişehir,Balıkesir,1,12000,12385,Direkt
12_Mayis,Spot Kamyon,Eskişehir,Balıkesir,1,12000,12385,Direkt
13_Mayis,Spot Kamyon,Eskişehir,Balıkesir,1,12000,12385,Direkt
14_Mayis,Spot Kamyonet,Eskişehir,Balıkesir,1,5600,8819,Direkt
15_Mayis,Spot Kamyonet,Eskişehir,Balıkesir,1,5600,8819,Direkt
16_Mayis,Spot Kamyonet,Eskişehir,Balıkesir,1,5600,8819,Direkt
17_Mayis,Spot Kamyonet,Eskişehir,Balıkesir,1,5600,8819,Direkt
11_Mayis,Spot Kamyon,Eskişehir,Bilecik,1,12000,8942,Direkt
12_Mayis,Spot Kamyonet,Eskişehir,Bilecik,1,5600,5867,Direkt
13_Mayis,Spot Kamyonet,Eskişehir,Bilecik,1,5600,5867,Direkt
14_Mayis,Spot Kamyonet,Eskişehir,Bilecik,1,5600,5867,Direkt
15_Mayis,Spot Kamyonet,Eskişehir,Bilecik,1,5600,5867,Direkt
17_Mayis,Spot Kamyonet,Eskişehir,Bilecik,1,5600,5867,Direkt
14_Mayis,Spot Kamyon,Eskişehir,Manisa,1,12000,13851,Direkt
15_Mayis,Spot Kamyonet,Eskişehir,Manisa,1,5600,10075,Direkt
17_Mayis,Spot Kamyonet,Eskişehir,Manisa,1,5600,10075,Direkt
17_Mayis,Spot Kamyonet,Eskişehir,Tekirdağ,1,5600,9929,Direkt
11_Mayis,Spot Tir,Kocaeli,Balıkesir,1,22400,17103,Direkt
11_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
12_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
13_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
13_Mayis,Spot Kamyonet,Kocaeli,Balıkesir,1,5600,8640,Direkt
14_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
15_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
16_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
17_Mayis,Kiralık Kamyon,Kocaeli,Balıkesir,1,12000,7161,Direkt
11_Mayis,Spot Kamyon,Kocaeli,Bilecik,1,12000,9288,Direkt
12_Mayis,Spot Kamyon,Kocaeli,Bilecik,1,12000,9288,Direkt
14_Mayis,Spot Kamyon,Kocaeli,Bilecik,1,12000,9288,Direkt
12_Mayis,Spot Kamyon,Kocaeli,Erzincan,1,12000,24950,Direkt
16_Mayis,Spot Kamyonet,Kocaeli,Erzincan,1,5600,19589,Direkt
17_Mayis,Spot Kamyonet,Kocaeli,Erzincan,1,5600,19589,Direkt
11_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6314,Direkt
12_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6314,Direkt
14_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6314,Direkt
16_Mayis,Kiralık Kamyon,Kocaeli,Eskişehir,1,12000,6314,Direkt
11_Mayis,Spot Kamyon,Kocaeli,Isparta,1,12000,14952,Direkt
14_Mayis,Spot Kamyonet,Kocaeli,Isparta,1,5600,11019,Direkt
15_Mayis,Spot Kamyonet,Kocaeli,Isparta,1,5600,11019,Direkt
17_Mayis,Spot Kamyonet,Kocaeli,Kütahya,1,5600,7629,Direkt
12_Mayis,Spot Kamyon,Kocaeli,Mardin,1,12000,28931,Direkt
14_Mayis,Spot Kamyon,Kocaeli,Mardin,1,12000,28931,Direkt
16_Mayis,Spot Kamyonet,Kocaeli,Mardin,1,5600,23001,Direkt
17_Mayis,Spot Kamyonet,Kocaeli,Mardin,1,5600,23001,Direkt
11_Mayis,Spot Tir,Kocaeli,Mersin,1,22400,26954,Direkt
11_Mayis,Spot Kamyon,Kocaeli,Mersin,1,12000,20451,Direkt
12_Mayis,Spot Tir,Kocaeli,Mersin,1,22400,26954,Direkt
13_Mayis,Spot Tir,Kocaeli,Mersin,1,22400,26954,Direkt
14_Mayis,Spot Tir,Kocaeli,Mersin,1,22400,26954,Direkt
16_Mayis,Spot Kamyon,Kocaeli,Mersin,1,12000,20451,Direkt
17_Mayis,Spot Kamyon,Kocaeli,Mersin,1,12000,20451,Direkt
11_Mayis,Spot Kamyon,Kocaeli,Sivas,1,12000,20602,Direkt
12_Mayis,Spot Kamyon,Kocaeli,Sivas,1,12000,20602,Direkt
13_Mayis,Spot Kamyon,Kocaeli,Sivas,1,12000,20602,Direkt
14_Mayis,Spot Kamyonet,Kocaeli,Sivas,1,5600,15862,Direkt
15_Mayis,Spot Kamyonet,Kocaeli,Sivas,1,5600,15862,Direkt
17_Mayis,Spot Kamyonet,Kocaeli,Sivas,1,5600,15862,Direkt
11_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
11_Mayis,Spot Tir,Kocaeli,Tekirdağ,1,22400,16690,Direkt
12_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
13_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
14_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
15_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
16_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
17_Mayis,Kiralık Tir,Kocaeli,Tekirdağ,1,22400,9595,Direkt
11_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
12_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
13_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
14_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
15_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
16_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
17_Mayis,Kiralık Tir,Kocaeli,Yalova,1,22400,7734,Direkt
11_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
12_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
13_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
14_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
15_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
16_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
17_Mayis,Kiralık Tir,Kocaeli,İstanbul,1,22400,8011,Direkt
15_Mayis,Spot Kamyon,Kocaeli,Şanlıurfa,1,12000,25958,Direkt
16_Mayis,Spot Kamyonet,Kocaeli,Şanlıurfa,1,5600,20453,Direkt
17_Mayis,Spot Kamyon,Kocaeli,Şanlıurfa,1,12000,25958,Direkt
