================================================================================
OPTİMİZASYON BAŞARILI — OPTIMAL
================================================================================

11_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Kütahya | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Kocaeli | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Eskişehir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-İstanbul | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Bilecik | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Balıkesir | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Şanlıurfa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Tekirdağ | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Sivas | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
16_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
17_Mayis | Mersin-Yalova | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
11_Mayis | Mersin-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
12_Mayis | Mersin-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
13_Mayis | Mersin-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
14_Mayis | Mersin-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
15_Mayis | Mersin-Manisa | Tir: Kiralık=0, Spot=1 (Toplam 22400 desi)
